Command,Occurrences,Tags,Primary Description
improve_interface,1,"screenshot, improvement, ui, design, interface, critique, prompt","Analyze a screenshot, critique the interface, and generate a prompt for improving the displayed interface."
recursive_critique,1,"recursion, prompt engineering, design, self-improvement, critique","Execute current task, recursively critique the work produced, and design the next prompt based on the critique."
engineer,70,"tabs, case data, condensed, bundling, buttons, conductor, site, cards, analysis, fields, rows, bonus, headers, renaming, file size, filtering, separator, successes, system prompt, feature request, bonuses, error block, sliders, sorting, percentage, mass, prompts, default, program dissection, precedents, code analysis, values, slider, color palettes, track, UI, refactoring, simplification, LLM, web app, rotation, engineer, UX, generation, application, comm, delimiter, mockups, logarithmic, table of contents, color, fioe, clarification, flags, command definition, rename, columns, patterns, review, numbers, ev, optimization, code modification, mermaid, alias, file location, success rate, output, bar, visual errors, API, python, exp, utility script, log, examples, metrics, interactive, error, metric, block types, delay, input, header, help, data, duration, steps, separators, logic extraction, engineering, visual, HTML, max, filter, animation, Procedural Spectrum Designer, SPA, alignment, janitor, modification, interoperability, sortable, demo, value, display, resolution, threads, reposition, historical, min, graph, successess, configuration, line, abbreviations, modularization, new command, table, reverse engineering, formatting, design, workflow, preferences, parameters, lifetime, logging, hue, development, run, file, schema expansions, functionality, status, failure, prompt","Implement a command, likely named 'dissect', that will recursively analyze a directory's contents, determine the program's nature, conduct broad and targeted code investigations, extract all necessary logic, annotate and save the full logic export as an .md file in a new 'logic' directory. Further, the command should perform conceptual, semantic, and logical analysis of the program, subdivide its functionality into multiple discrete, independently runnable programs (v1), and subsequently upgrade them to be interoperable (v2) such that initiating program B from A would provide A with B's functionality."
resume_logic_export,1,"merge, logic, code, export, resume","Resume logic export version 2, incorporating code extracts into the initial logic export."
restart,3,"process, restart, parameters, service, codebase, system, investigators, context, refresh, reset",Create a command 'restart' that allows restarting a specified process with updated parameters.
zen,1,"output, zen mode, ui, simplification, distraction-free",Create a 'zen' command that simplifies output by removing redundancies and entering a distraction-free mode.
simplify,1,"refactor, cognitive load, legacy, simplify",Simplify the system by removing redundant cognitive load.
pending_assignment,445,"command_creation, engineering, redundancy_elimination, master_entry, command extraction, resume_workflow, migration, knowledge_management, redundancy_removal, database, scorecards, checker, utility, list cleaning, metrics, code_decomposition, shortener, synthesis, data analysis, prompt_engineering, code_documentation, codebase_review, command, redundancy, UI/UX, data_synthesis, deduplication, analyze_logs, command suggestion, data_cleaning, emulation, bug_investigation, prediction, information_consolidation, features",wow no way you can do that if you manage i will be sooo impressed! yes i want you to build it.
reorganize_code,1,"directories, code, reorganization, structure",Create a command `reorganize_code` that automatically reorganizes the code into directories and subdirectories based on predefined rules or user input.
configure_workers,1,"worker, resource_management, proxy, configuration",Command request: Configure the number of workers based on available proxies. Example: configure_workers proxies=430 workers=50
test_discovery_agent,1,"discovery agent, testing",Create a command to test the discovery agent.
find_facebook_content,1,"content, facebook, search, social media",Implement a command to search for and retrieve content from Facebook.
fb_group_post_extraction,1,"social media, facebook, scraping, data extraction",Implement a command that continuously scrapes posts from specified Facebook groups.
set_default_tail,1,"preferences, default, configuration, tail",Establish a command to set the 'tail' functionality as the default.
download_json,1,"download, output, json, run",Add the ability to download the raw JSON output from a run.
reformat_data,1,"table, data formatting, JSON, retrieval","Create a command `reformat_data` that can transform data between different formats (e.g., cards to table rows) and retrieve the original raw JSON format if available."
format_and_filter_data,1,"data formatting, table, filtering, sorting, JSON","Request to format data as sortable table rows, filter based on specified logic, and provide the original raw JSON."
tweak_filter,1,"manual control, filter, text input, tweak, variable",Implement a command `tweak_filter` that allows users to adjust filter variables by providing text inputs.
output_perceived_value_logic,1,"output, pv.me, logic, perceived value, comments",New command requested: output_perceived_value_logic. The command should extract and output all 'perceived value logic' with associated comments to pv.me.
extract_perceived_value,1,"extraction, documentation, perceived value, logic",Extract all perceived value logic with comments to pv.md
calculate_score,1,"withdrawal, rollover, bonus, formula, score calculation, mathematical logic, turnover ratio","Mathematical logic (V14) for calculating a score. Definitions: A = Bonus Amount, W_max = Maximum Withdrawal (3776 if unlimited), W_min = Minimum Withdrawal, T = Turnover Ratio, R = Rollover Amount. Includes formulas for Numerator (Reward), Denominator (Resistance - Escape Balance, Growth Penalty, Grind Penalty), and Final Formula."
redesign_table_ui,1,"UI, UX, frontend, table, redesign",Redesign table UI: Remove convoluted logic related to the bonus name becoming a symbol. Implement a pop-up when a row is tapped. Narrow column widths to a reasonable size. Reduce font size.
display_config,1,"settings, display, scraper, config, dashboard",Implement a command to display the contents of the config.ini file within the scraper initialization dashboard.
N/A,3,feature request,/compress
exit,4,"control, cli, session, terminate, command, exit, interface, quit",A command that terminates the current session or workflow.
